"JP Donoso, TJ Bonagamba, HC Panepucci, LN Oliveira, W Gorecki, ...",,
"The Journal of chemical physics 98 (12), 10026-10036",,
Longitudinal and Transverse Zeeman Ladders in the Ising-Like Chain Antiferromagnet ,95,2015
"B Grenier, S Petit, V Simonet, E Canévet, LP Regnault, S Raymond, ...",,
"Physical Review Letters 114 (1), 017201",,
One-third magnetization plateau with a preceding novel phase in volborthite,92,2015
"H Ishikawa, M Yoshida, K Nawa, M Jeong, S Krämer, M Horvatić, ...",,
"Physical review letters 114 (22), 227202",,
NMR study on a 2H-NbSe2 single crystal: a microscopic investigation of the charge density waves state,91,1978
C Berthier,,
"Journal of Physics C: Solid State Physics 11 (4), 797",,
Identification of Nuclear Relaxation Processes in a Gapped Quantum Magnet:  NMR in the  Heisenberg Ladder ,89,1997
"G Chaboussant, MH Julien, Y Fagot-Revurat, LP Levy, C Berthier, ...",,
"Physical review letters 79 (5), 925",,
Anomalous spin correlations and excitonic instability of interacting 2D Weyl fermions,86,2017
"M Hirata, K Ishikawa, G Matsuno, A Kobayashi, K Miyagawa, M Tamura, ...",,
"Science 358 (6369), 1403-1406",,
Similar glassy features in the  NMR response of pure and disordered ,86,2008
"VF Mitrović, MH Julien, C De Vaulx, M Horvatić, C Berthier, T Suzuki, ...",,
"Physical Review B—Condensed Matter and Materials Physics 78 (1), 014504",,
Observation of Spin Susceptibility Enhancement in the Possible <?format ?>Fulde-Ferrell-Larkin-Ovchinnikov State of ,86,2006
"VF Mitrović, M Horvatić, C Berthier, G Knebel, G Lapertot, J Flouquet",,
"Physical review letters 97 (11), 117002",,
Incomplete Devil’s Staircase in the Magnetization Curve of ,82,2013
"M Takigawa, M Horvatić, T Waki, S Krämer, C Berthier, F Lévy-Bertrand, ...",,
"Physical Review Letters 110 (6), 067210",,
NMR investigation of single-crystal  from the underdoped to the overdoped regime,77,1993
"M Horvatić, T Auler, C Berthier, Y Berthier, P Butaud, WG Clark, JA Gillet, ...",,
"Physical Review B 47 (6), 3461",,
Reentrant Superconductivity Driven by Quantum Tricritical Fluctuations in URhGe: Evidence from  NMR in ,75,2015
"Y Tokunaga, D Aoki, H Mayaffre, S Krämer, MH Julien, C Berthier, ...",,
"Physical Review Letters 114 (21), 216401",,
NMR investigation of the layered transition metal phosphorus trichalcogenides and the intercalation compounds LixNiPS3,73,1978
"C Berthier, Y Chabre, M Minier",,
"Solid State Communications 28 (4), 327-332",,
NMR Evidence of the Fröhlich Mode in Mo,72,1986
"P Segransan, A Janossy, C Berthier, J Marcus, P Butaud",,
"Physical review letters 56 (17), 1854",,
New Phase Transition between Partially and Fully Polarized Quantum Hall States with Charge and Spin Gaps at ,69,2001
"N Freytag, Y Tokunaga, M Horvatić, C Berthier, M Shayegan, LP Lévy",,
"Physical review letters 87 (13), 136801",,
NMR Imaging of the Soliton Lattice Profile in the Spin-Peierls Compound ,69,1999
"M Horvatić, Y Fagot-Revurat, C Berthier, G Dhalenne, A Revcolevschi",,
"Physical review letters 83 (2), 420",,
Confinement in Bechgaard salts: Anomalous magnetoresistance and nuclear relaxation,69,1995
"K Behnia, L Balicas, W Kang, D Jérome, P Carretta, Y Fagot-Revurat, ...",,
"Physical review letters 74 (26), 5272",,
"Electronic Correlations in , the Parent Compound of Triangular Cobaltates",65,2007
"C De Vaulx, MH Julien, C Berthier, S Hébert, V Pralong, A Maignan",,
